budget,revenue,original_title,tmdb_votes,tmdb_rating,release_year,imdb_rating,imdb_votes,genres,runtime,rating_combined,budget_adj_2024,revenue_adj_2024,roi,profit_margin,on_netflix,on_hulu,on_disney,on_amazon,on_streaming,streaming_platforms
50000000.0,3324330.0,Child 44,341,5.9,2015,6.4,79036.0,"('Drama', 'History', 'Crime', 'Thriller')",137.0,6.15,66180454.17,4400113.38,-93.35134000637517,-1404.062474181063,False,False,False,False,False,0
5000000.0,58978653.0,The Gift,631,6.6,2015,7.0,182760.0,"('Drama', 'Mystery', 'Thriller')",108.0,6.8,6618045.42,78064680.84,1079.5730595031184,91.52235639883773,False,False,False,False,False,0
50000000.0,240360392.0,Daddy's Home,568,5.7,2015,6.2,137239.0,"('Comedy', 'Family')",96.0,5.95,66180454.17,318143198.16,380.7207840290347,79.1979037889986,False,False,False,False,False,0
,,Mythica: The Necromancer,11,5.4,2015,5.4,2730.0,"('Adventure', 'Action', 'Fantasy')",93.0,5.4,,,,,False,False,False,False,False,0
10000000.0,,Vice,181,4.1,2015,4.2,17448.0,"('Science Fiction', 'Action', 'Thriller', 'Adventure')",96.0,4.15,13236090.83,,,,False,False,False,False,False,0
64000000.0,97571250.0,The Little Prince,423,7.5,2015,7.6,70404.0,"('Comedy', 'Adventure', 'Animation', 'Fantasy')",92.0,7.55,84710981.34,129146192.79,52.45507813402932,34.40690777641003,True,False,False,True,True,2
,233755553.0,Alvin and the Chipmunks: The Road Chip,278,5.7,2015,4.9,25143.0,"('Comedy', 'Adventure', 'Animation', 'Family')",92.0,5.300000000000001,,309400973.26,,,False,False,True,False,True,1
11930000.0,18340000.0,The Dressmaker,197,6.9,2015,7.0,69884.0,"('Drama', 'Comedy')",118.0,6.95,15790656.37,24274990.59,53.7300921582907,34.95092691609567,False,False,False,False,False,0
8500000.0,43528634.0,The DUFF,753,6.8,2015,6.4,106122.0,"('Comedy', 'Romance')",100.0,6.6,11250677.21,57614895.35,412.10157641701636,80.47262406422126,False,False,False,False,False,0
10000000.0,52882018.0,Sinister 2,331,5.5,2015,5.3,66037.0,"('Horror', 'Thriller', 'Mystery')",97.0,5.4,13236090.83,69995119.38,428.82018021026227,81.0899803482841,True,False,False,False,True,1
30000000.0,107597242.0,Paul Blart: Mall Cop 2,422,5.3,2015,4.5,43916.0,"('Family', 'Crime', 'Comedy', 'Adventure', 'Action')",94.0,4.9,39708272.5,142416686.87,258.6574733766119,72.1182444468419,False,False,False,False,False,0
,,Frozen Fever,475,7.0,2015,,,"('Adventure', 'Animation', 'Family')",8.0,,,,,,False,False,True,False,True,1
,,High-Rise,161,5.4,2015,5.5,47108.0,"('Drama', 'Science Fiction', 'Action')",119.0,5.45,,,,,False,False,False,False,False,0
4000000.0,50163103.0,The Boy Next Door,810,3.9,2015,4.7,47856.0,"('Thriller',)",91.0,4.3,5294436.33,66396338.79,1154.0775759975945,92.02601163485026,False,False,False,False,False,0
,,Spooks: The Greater Good,114,5.6,2015,6.2,24633.0,"('Drama', 'Action', 'Thriller')",104.0,5.9,,,,,False,False,False,False,False,0
30000000.0,49263404.0,Entourage,364,6.2,2015,6.5,85138.0,"('Drama', 'Comedy')",104.0,6.35,39708272.5,65205489.02,64.2113466910453,39.10286833701903,False,False,False,False,False,0
23000000.0,79799880.0,The Wedding Ringer,446,6.5,2015,6.6,84004.0,"('Comedy', 'Romance')",101.0,6.55,30443008.92,105623846.03,246.9560000050087,71.17790152107,False,False,False,False,False,0
15000000.0,14860766.0,Scouts Guide to the Zombie Apocalypse,288,6.2,2015,6.3,59651.0,"('Comedy', 'Horror', 'Action')",93.0,6.25,19854136.25,19669844.86,-0.9282266812287067,-0.9369234547180897,False,False,False,False,False,0
5000000.0,98450062.0,The Visit,729,5.9,2015,6.3,169491.0,"('Horror', 'Thriller', 'Mystery')",94.0,6.1,6618045.42,130309396.33,1869.0012391906494,94.92128303377277,True,False,False,False,True,1
53000000.0,99775678.0,Black Mass,848,6.3,2015,6.8,200713.0,"('Drama', 'Biography', 'Crime')",122.0,6.55,70151281.42,132063993.71,88.25599623665433,46.8808420453757,False,False,False,False,False,0
8900000.0,50136.0,Heist,233,5.4,2015,6.1,34110.0,"('Drama', 'Thriller', 'Crime', 'Action')",93.0,5.75,11780120.84,66360.47,-99.43667411479625,-17651.71399479238,False,False,False,False,False,0
15000000.0,61548707.0,Krampus,342,5.9,2015,6.2,91993.0,"('Comedy', 'Horror', 'Fantasy')",98.0,6.050000000000001,19854136.25,81466427.66,310.32471337049475,75.62905748996236,False,False,False,False,False,0
20000000.0,208588.0,Dark Places,322,5.7,2015,6.2,49510.0,"('Drama', 'Mystery', 'Crime', 'Thriller')",113.0,5.95,26472181.67,276088.97,-98.9570600057007,-9488.27933980847,True,False,False,False,True,1
5000000.0,54418872.0,No Escape,519,6.7,2015,6.8,97599.0,"('Action', 'Thriller')",103.0,6.75,6618045.42,72029313.29,988.3774395431697,90.81201094705035,True,False,False,False,True,1
700000.0,17986781.0,Dope,448,7.3,2015,7.2,91309.0,"('Drama', 'Comedy', 'Adventure', 'Crime')",103.0,7.25,926526.36,23807466.71,2469.540138070114,96.10825304814634,False,False,False,False,False,0
28000000.0,28208085.0,American Ultra,695,5.9,2015,6.1,99477.0,"('Comedy', 'Action')",96.0,6.0,37061054.34,37336477.53,0.7431606976780833,0.7376785605409456,True,False,False,False,True,1
11000000.0,61619773.0,Woman in Gold,277,7.3,2015,7.3,65517.0,"('Drama', 'Biography', 'History')",120.0,7.3,14559699.92,81560491.26,460.17975444647766,82.14858726931115,False,False,False,False,False,0
,,The Scorpion King: The Lost Throne,22,4.5,2015,,,"('Adventure', 'Action', 'Fantasy')",105.0,,,,,,False,False,False,False,False,0
30000000.0,105011053.0,Sisters,399,5.9,2015,6.0,72823.0,"('Comedy',)",118.0,5.95,39708272.5,138993583.62,250.03684338068348,71.43157873491485,False,False,False,False,False,0
12000000.0,32248241.0,Project Almanac,637,6.3,2015,6.4,87094.0,"('Drama', 'Science Fiction', 'Mystery', 'Thriller')",106.0,6.35,15883309.0,42684064.71,168.73534167219185,62.788668071063846,False,False,False,False,False,0
,5189646.0,Absolutely Anything,199,5.8,2015,6.0,53397.0,"('Comedy', 'Science Fiction')",85.0,5.9,,6869062.59,,,False,False,False,False,False,0
25000000.0,72629670.0,The Transporter Refueled,407,5.3,2015,5.2,47042.0,"('Action', 'Thriller', 'Crime')",96.0,5.25,33090227.09,96133290.94,190.51867996714915,65.57880546224854,False,False,False,True,True,1
55000000.0,74679822.0,Crimson Peak,819,6.4,2015,6.5,167334.0,"('Drama', 'Horror', 'Thriller', 'Mystery', 'Fantasy')",119.0,6.45,72798499.59,98846890.75,35.78149454549767,26.352261525231636,True,False,False,False,True,1
,,Everly,169,5.1,2015,5.1,20275.0,"('Action', 'Thriller')",90.0,5.1,,,,,False,False,False,False,False,0
14800000.0,122413057.0,Magic Mike XXL,501,6.3,2015,5.6,63170.0,"('Drama', 'Comedy', 'Musical', 'Music')",115.0,5.949999999999999,19589414.44,162027034.18,727.1152498012085,87.90978645067489,False,False,False,False,False,0
10000000.0,78099553.0,Paranormal Activity: The Ghost Dimension,267,5.0,2015,4.6,32782.0,"('Horror', 'Thriller', 'Mystery')",88.0,4.8,13236090.83,103373277.77,680.9955303094576,87.1958294101406,False,False,False,False,False,0
,229094.0,Slow West,229,6.6,2015,6.9,49619.0,"('Romance', 'Drama', 'Thriller', 'Adventure', 'Western')",84.0,6.75,,303230.9,,,True,False,False,False,True,1
15000000.0,8235661.0,Trumbo,273,7.2,2015,7.4,86985.0,"('Drama', 'Biography')",124.0,7.300000000000001,19854136.25,10900795.71,-45.09559331748819,-82.13474298749149,True,False,False,True,True,2
